trip_id,user_id,age
727000,358222,20.0
727000,334983,20.0
727001,435480,24.0
726998,187569,21.0
726998,591336,21.0
726998,484643,21.0
726998,367205,21.0
726998,367301,21.0
726998,217783,21.0
727005,63098,26.0
727018,219514,20.0
727018,219505,20.0
727018,372750,20.0
727018,287029,23.0
727020,231129,24.0
727003,566021,29.0
727003,566660,31.0
727003,588406,38.0
727003,589997,6.0
727015,374578,35.0
727017,591011,24.0
727017,591397,24.0
727017,148353,24.0
727017,591414,27.0
727017,591404,27.0
727017,591402,24.0
727025,495674,31.0
727029,495674,31.0
727041,584621,31.0
727041,584632,30.0
727041,592530,29.0
727041,585999,26.0
727041,592527,29.0
727042,297578,24.0
727042,532003,29.0
727042,551100,28.0
727042,572239,28.0
727042,531995,29.0
727043,591753,34.0
727043,548189,26.0
727043,591890,27.0
727043,591888,24.0
727043,592540,26.0
727043,299173,25.0
727042,592539,24.0
727042,551237,23.0
727043,592541,0.0
727043,592542,26.0
727042,69713,25.0
727042,551234,25.0
727042,587935,22.0
727042,304623,27.0
727042,166240,27.0
727045,586543,32.0
727045,586119,32.0
727045,586552,40.0
727045,586532,33.0
727045,586554,48.0
727045,586550,43.0
727049,103832,21.0
727049,118109,24.0
727049,116372,21.0
727049,117784,21.0
727049,47022,22.0
727049,459950,21.0
727049,252542,20.0
727049,219559,21.0
727049,94091,21.0
727049,103838,21.0
727049,258480,21.0
727048,566473,25.0
727050,72872,21.0
727050,72859,21.0
727050,88853,21.0
727051,330030,19.0
727050,73531,21.0
727051,256561,19.0
727050,75559,22.0
727051,209595,23.0
727051,289881,23.0
727050,157464,24.0
727051,255428,24.0
727051,196911,39.0
727051,230015,22.0
727050,67274,21.0
727051,336514,19.0
727051,161266,19.0
727051,230168,19.0
727051,255707,20.0
727050,71278,21.0
727051,230186,28.0
727050,71276,24.0
727050,89928,21.0
727050,77734,21.0
727050,73735,21.0
727050,80810,22.0
727054,79355,30.0
727057,342871,19.0
727057,255577,19.0
727057,328323,23.0
727057,182844,25.0
727057,238212,20.0
727057,320500,19.0
727057,256042,20.0
727057,328304,19.0
727059,251145,26.0
727059,251138,27.0
727059,301069,29.0
727059,59414,27.0
727059,475335,27.0
727059,115031,27.0
727059,353041,23.0
727066,592572,22.0
727066,592576,20.0
727066,592578,25.0
727067,138182,21.0
727066,592597,18.0
727066,505556,22.0
727066,592583,22.0
727069,281320,23.0
727069,214839,23.0
727069,177766,21.0
727069,385186,21.0
727069,185954,21.0
727068,591353,19.0
727068,514164,18.0
727069,592595,24.0
727068,376424,20.0
727069,592612,19.0
727069,592607,20.0
727068,592615,20.0
727069,592608,19.0
727068,592618,20.0
727068,592617,21.0
727068,592620,20.0
727068,592619,19.0
727068,592611,21.0
727069,592605,21.0
727069,592621,18.0
727070,592625,18.0
727070,592624,21.0
727070,592610,18.0
727070,583185,18.0
727070,592633,18.0
727070,592613,19.0
727071,592634,18.0
727071,585040,18.0
727071,592628,18.0
727071,441395,18.0
727071,592587,22.0
727071,444319,18.0
727073,163343,21.0
727071,592631,18.0
727073,592568,18.0
727073,523929,
727071,592623,19.0
727073,592636,18.0
727071,359850,19.0
727073,518341,18.0
727073,592646,18.0
727073,592648,18.0
727071,592640,19.0
727073,592651,21.0
727073,592649,21.0
727073,592653,21.0
727073,592654,20.0
727078,94150,21.0
727078,165609,23.0
727078,107936,21.0
727078,504013,21.0
727078,22237,
727078,256070,22.0
727078,187806,20.0
727078,72805,21.0
727078,155661,21.0
727078,385192,20.0
727078,331257,1.0
727078,65477,24.0
727078,107238,21.0
727083,83630,21.0
727079,91437,20.0
727079,192978,20.0
727083,188650,21.0
727079,78445,20.0
727083,61358,21.0
727079,117063,20.0
727083,73476,22.0
727079,166461,24.0
727079,185821,20.0
727079,187823,21.0
727079,197487,20.0
727079,184932,21.0
727083,72734,21.0
727079,184527,20.0
727083,75904,22.0
727083,81556,21.0
727083,181305,21.0
727081,189348,20.0
727083,71746,21.0
727081,183816,21.0
727081,189352,20.0
727081,203370,20.0
727081,199491,20.0
727081,183885,20.0
727081,120663,20.0
727081,329824,18.0
727081,323683,20.0
727081,183933,20.0
727084,329636,24.0
727084,185318,20.0
727084,211618,20.0
727084,258482,23.0
727084,210722,21.0
727084,194464,21.0
727084,209079,20.0
727089,551547,22.0
727089,562052,22.0
727089,561996,22.0
727089,115067,21.0
727089,551545,22.0
727089,592546,22.0
727089,274343,23.0
727089,592650,23.0
727089,114921,23.0
727089,592550,22.0
727089,592690,22.0
727089,547017,23.0
727091,57893,21.0
727091,299757,21.0
727092,338420,19.0
727092,366997,20.0
727092,367005,20.0
727092,263917,20.0
727091,232464,21.0
727091,423365,21.0
727091,79459,23.0
727091,152613,21.0
727092,592582,19.0
727092,293667,24.0
727091,592658,21.0
727091,592700,21.0
727093,566473,25.0
727097,76692,21.0
727097,119119,21.0
727097,44305,22.0
727097,85352,22.0
727101,47022,22.0
727101,592673,21.0
727101,219559,21.0
727101,117784,21.0
727101,459950,21.0
727096,75819,21.0
727096,74685,22.0
727096,73703,21.0
727096,98528,21.0
727096,73707,21.0
727096,74427,25.0
727096,74677,21.0
727101,118109,24.0
727096,71632,21.0
727101,103832,21.0
727101,258480,21.0
727101,116372,21.0
727097,78914,21.0
727096,74428,22.0
727096,76669,21.0
727096,72557,25.0
727097,73391,21.0
727101,103838,21.0
727097,73706,31.0
727104,113457,24.0
727109,66945,22.0
727109,73910,22.0
727109,72794,21.0
727109,78167,24.0
727109,184981,21.0
727109,81374,21.0
727109,87205,21.0
727112,65867,24.0
727112,496947,24.0
727112,93079,21.0
727112,71377,22.0
727112,73688,21.0
727112,73681,22.0
727112,69809,24.0
727112,48207,25.0
727112,65620,21.0
727112,46666,21.0
727121,441395,18.0
727120,592608,19.0
727121,163343,21.0
727120,592607,20.0
727120,107936,21.0
727121,583185,18.0
727121,592621,18.0
727121,592633,18.0
727121,514164,18.0
727121,592615,20.0
727121,591353,19.0
727120,592652,19.0
727121,592623,19.0
727122,72805,21.0
727121,592634,18.0
727122,592631,18.0
727122,444319,18.0
727121,585040,18.0
727122,592628,18.0
727122,138182,21.0
727122,592611,21.0
727122,73481,21.0
727122,592578,25.0
727122,592576,20.0
727122,592624,21.0
727120,359850,19.0
727120,523929,
727120,592646,18.0
727120,592568,18.0
727120,518341,18.0
727120,592612,19.0
727120,592648,18.0
727119,89928,21.0
727119,77734,21.0
727119,67274,21.0
727119,73735,21.0
727119,192692,22.0
727119,157464,24.0
727119,73531,21.0
727119,80810,22.0
727119,75559,22.0
727119,75560,21.0
727133,505556,22.0
727133,385186,21.0
727133,592624,21.0
727133,185954,21.0
727133,177766,21.0
727133,281320,23.0
727133,214839,23.0
727139,211618,20.0
727139,217349,20.0
727139,194464,21.0
727139,329636,24.0
727139,209079,20.0
727139,185318,20.0
727139,210722,21.0
727139,258482,23.0
727125,166461,24.0
727125,120663,20.0
727124,199491,20.0
727124,203370,20.0
727125,184932,21.0
727124,183933,20.0
727125,329824,18.0
727125,323683,20.0
727124,183816,21.0
727125,185821,20.0
727125,187823,21.0
727124,189352,20.0
727125,117063,20.0
727124,189348,20.0
727124,78445,20.0
727124,197487,20.0
727169,111608,21.0
727169,111755,20.0
727169,111788,20.0
727169,111140,21.0
727169,90926,20.0
727169,108598,21.0
727169,186058,20.0
727169,105585,21.0
727169,110943,20.0
727169,192829,21.0
727171,255340,19.0
727171,328830,19.0
727171,238821,19.0
727171,245868,19.0
727171,328832,19.0
727171,238667,19.0
727171,198752,22.0
727171,131380,24.0
727171,255024,19.0
727171,197724,23.0
727171,214154,23.0
727171,161402,20.0
727171,141093,19.0
727179,196154,23.0
727179,167972,24.0
727179,128059,22.0
727179,226263,19.0
727179,197566,19.0
727179,131329,19.0
727179,134958,19.0
727179,241727,20.0
727179,249646,19.0
727179,239664,25.0
727179,224197,23.0
727179,149117,21.0
727197,65620,21.0
727197,93079,21.0
727197,496947,24.0
727197,65867,24.0
727197,73681,22.0
727197,71377,22.0
727197,73688,21.0
727197,46666,21.0
727197,69809,24.0
727207,591888,24.0
727207,548189,26.0
727207,592540,26.0
727216,562052,22.0
727216,561996,22.0
727216,551547,22.0
727216,551545,22.0
727216,592690,22.0
727216,547017,23.0
727216,592650,23.0
727216,592550,22.0
727216,115067,21.0
727216,592546,22.0
727207,299173,25.0
727207,591753,34.0
727207,591890,27.0
727207,592542,26.0
727238,449470,19.0
727238,584430,18.0
727238,344549,19.0
727238,579482,21.0
727238,592809,18.0
727238,579480,18.0
727238,582784,18.0
727238,592812,18.0
727238,335314,24.0
727238,582781,18.0
727239,453338,19.0
727239,582790,18.0
727239,582069,18.0
727239,584440,21.0
727239,579506,22.0
727241,582067,19.0
727239,239511,24.0
727241,581961,18.0
727239,579469,18.0
727241,166353,25.0
727239,351569,18.0
727227,186018,20.0
727241,581472,18.0
727241,590994,18.0
727239,581980,19.0
727241,584460,18.0
727239,532997,18.0
727227,429016,19.0
727241,578320,18.0
727239,579490,18.0
727227,198457,21.0
727241,579519,18.0
727239,467850,18.0
727227,327591,20.0
727239,583282,18.0
727227,343031,23.0
727227,334421,19.0
727241,566713,18.0
727238,592813,18.0
727227,268641,19.0
727238,592814,18.0
727241,582004,18.0
727227,335911,20.0
727241,579478,19.0
727241,584451,18.0
727240,579483,18.0
727240,408353,19.0
727240,579420,19.0
727240,584479,18.0
727241,592810,18.0
727240,592808,18.0
727240,435047,19.0
727238,579460,21.0
727240,584448,19.0
727240,584169,21.0
727240,579477,18.0
727240,584459,21.0
727240,582112,22.0
727240,592815,18.0
727227,176942,20.0
727227,339707,19.0
727227,120707,22.0
727227,189372,20.0
727227,582104,19.0
727247,592658,21.0
727247,293667,24.0
727247,592582,19.0
727249,232464,21.0
727249,299757,21.0
727247,423365,21.0
727247,79459,23.0
727249,366997,20.0
727249,338420,19.0
727249,367005,20.0
727249,57893,21.0
727249,263917,20.0
727257,113457,24.0
727265,85352,22.0
727265,119119,21.0
727261,72734,21.0
727265,73391,21.0
727261,83630,21.0
727261,188650,21.0
727261,73476,22.0
727265,44305,22.0
727261,75904,22.0
727261,71746,21.0
727265,73706,31.0
727261,71400,3.0
727261,61358,21.0
727267,74427,25.0
727267,71632,21.0
727267,72557,25.0
727261,81556,21.0
727267,74677,21.0
727261,181305,21.0
727267,73703,21.0
727267,98528,21.0
727267,74685,22.0
727265,76692,21.0
727267,75819,21.0
727267,73707,21.0
727267,74428,22.0
727267,76669,21.0
727265,191287,22.0
727275,131329,19.0
727275,226263,19.0
727275,167972,24.0
727275,128059,22.0
727275,241727,20.0
727275,197566,19.0
727275,224197,23.0
727275,196154,23.0
727275,134958,19.0
727275,249646,19.0
727275,149117,21.0
727275,239664,25.0
727287,328832,19.0
727287,235058,20.0
727287,141093,19.0
727287,114925,24.0
727287,328830,19.0
727287,255340,19.0
727287,245868,19.0
727287,196840,19.0
727287,238821,19.0
727287,161402,20.0
727287,255024,19.0
727287,197724,23.0
727287,214154,23.0
727287,198752,22.0
727285,90926,20.0
727285,105585,21.0
727285,111788,20.0
727285,111140,21.0
727285,110943,20.0
727285,111755,20.0
727285,111608,21.0
727285,192829,21.0
727285,186058,20.0
727301,242422,19.0
727301,528252,18.0
727301,294339,23.0
727301,471557,18.0
727301,583589,19.0
727301,443938,22.0
727301,475955,18.0
727301,579397,19.0
727301,533022,18.0
727301,291712,19.0
727297,404783,22.0
727297,285323,18.0
727297,339412,18.0
727296,443249,19.0
727297,444149,19.0
727297,241889,19.0
727296,225038,25.0
727297,428032,19.0
727297,347065,19.0
727296,393623,24.0
727296,374605,18.0
727296,261144,25.0
727297,250509,18.0
727296,295541,19.0
727296,592853,19.0
727297,444002,18.0
727296,432105,18.0
727296,443976,19.0
727296,192775,24.0
727296,223168,22.0
727296,203407,22.0
727298,443369,0.0
727298,524590,20.0
727298,434702,18.0
727296,435588,23.0
727297,443232,
727298,585613,19.0
727297,541150,19.0
727298,427590,19.0
727297,489166,19.0
727304,453321,19.0
727304,409422,22.0
727304,396268,22.0
727304,548315,24.0
727304,459916,19.0
727304,454904,18.0
727304,539403,18.0
727304,308201,24.0
727304,324905,20.0
727304,545217,19.0
727304,526150,18.0
727303,453318,20.0
727303,552093,18.0
727303,504840,18.0
727303,292993,22.0
727303,161910,47.0
727303,251783,36.0
727303,534350,19.0
727303,472638,19.0
727303,527280,18.0
727303,453339,19.0
727303,446686,18.0
727305,178284,24.0
727305,547086,18.0
727305,159942,19.0
727305,295290,18.0
727305,443953,18.0
727305,40118,24.0
727305,180274,21.0
727305,176429,19.0
727305,203810,20.0
727305,424798,18.0
727305,444037,18.0
727305,278416,25.0
727305,445936,18.0
727313,344549,19.0
727313,590994,18.0
727313,584448,19.0
727313,584451,18.0
727313,582112,22.0
727314,327591,20.0
727313,584169,21.0
727314,334421,19.0
727313,453338,19.0
727313,435047,19.0
727313,592812,18.0
727314,343031,23.0
727313,166353,25.0
727313,408353,19.0
727313,592813,18.0
727313,592809,18.0
727313,582067,19.0
727316,566713,18.0
727316,584430,18.0
727314,187866,21.0
727316,467850,18.0
727314,193917,20.0
727316,579480,18.0
727314,186018,20.0
727314,198457,21.0
727314,429016,19.0
727316,239511,24.0
727316,584459,21.0
727316,345455,19.0
727316,581980,19.0
727314,335911,20.0
727316,276216,20.0
727316,592810,18.0
727316,578320,18.0
727316,581961,18.0
727316,579490,18.0
727316,582104,19.0
727318,592815,18.0
727318,532997,18.0
727318,579483,18.0
727318,579420,19.0
727318,579460,21.0
727318,579477,18.0
727318,582790,18.0
727318,583282,18.0
727319,519392,18.0
727319,449470,19.0
727319,579482,21.0
727319,579506,22.0
727361,111583,21.0
727361,111759,20.0
727361,111106,21.0
727361,123713,20.0
727361,91304,25.0
727361,108602,20.0
727361,128166,20.0
727361,66811,20.0
727361,112721,25.0
727365,39926,35.0
727365,81812,21.0
727365,111641,20.0
727365,53576,26.0
727365,73995,24.0
727365,29916,22.0
727365,88409,25.0
727365,39346,20.0
727365,111144,25.0
727365,78480,20.0
727365,111794,20.0
727365,115907,21.0
727367,111686,21.0
727367,139145,20.0
727367,139583,20.0
727367,120742,20.0
727367,186561,20.0
727367,140523,23.0
727367,111800,21.0
727367,149711,21.0
727367,111963,20.0
727372,201677,18.0
727372,168445,25.0
727372,321521,1.0
727372,294652,24.0
727372,256359,19.0
727372,492174,18.0
727372,246344,18.0
727372,426263,24.0
727372,261149,19.0
727371,227573,25.0
727371,196840,19.0
727371,230015,22.0
727371,42630,25.0
727371,231887,19.0
727371,239648,24.0
727371,196154,23.0
727371,239618,19.0
727371,255158,19.0
727371,230230,20.0
727371,239664,25.0
727412,111583,21.0
727412,39320,26.0
727412,108602,20.0
727412,111106,21.0
727412,78451,20.0
727412,123713,20.0
727412,112721,25.0
727412,91304,25.0
727412,66811,20.0
727412,40124,27.0
727412,111113,25.0
727412,128166,20.0
727412,111759,20.0
727412,111785,20.0
727418,330038,19.0
727418,257971,20.0
727418,335143,20.0
727418,258193,20.0
727418,257968,20.0
727418,329861,19.0
727418,258762,19.0
727418,329863,19.0
727419,513655,18.0
727419,172099,25.0
727419,253909,21.0
727419,275151,19.0
727419,583185,18.0
727419,448869,19.0
727419,421382,18.0
727419,583606,20.0
727419,367744,18.0
727419,585507,18.0
727419,584028,18.0
727419,584032,18.0
727419,589793,22.0
727418,349519,19.0
727418,329858,19.0
727419,587269,18.0
727424,316501,18.0
727424,557925,18.0
727424,556336,18.0
727424,499574,18.0
727424,442630,24.0
727424,483712,18.0
727425,447792,18.0
727425,447916,24.0
727425,331453,19.0
727425,517876,18.0
727425,447692,25.0
727425,442868,18.0
727425,449216,18.0
727427,39340,27.0
727427,142511,20.0
727427,146495,21.0
727427,82842,26.0
727427,117620,24.0
727427,115849,20.0
727427,82837,25.0
727427,115862,24.0
727428,75796,24.0
727428,278582,24.0
727428,224407,18.0
727428,60209,18.0
727428,226869,22.0
727428,446046,18.0
727428,115990,22.0
727428,132410,18.0
727426,584449,18.0
727426,453214,18.0
727428,540767,18.0
727426,283389,19.0
727426,365958,18.0
727426,583643,18.0
727428,424765,22.0
727426,491781,18.0
727426,584036,18.0
727426,491798,18.0
727426,533937,17.0
727426,181759,23.0
727428,239281,19.0
727428,459207,19.0
727432,196154,23.0
727432,239664,25.0
727432,227573,25.0
727432,196840,19.0
727432,42630,25.0
727432,239618,19.0
727432,230230,20.0
727432,239648,24.0
727432,255398,20.0
727438,549927,21.0
727438,223543,18.0
727439,76176,24.0
727439,192522,20.0
727439,111630,20.0
727438,242532,18.0
727439,111144,25.0
727438,436298,22.0
727439,29916,22.0
727438,444039,18.0
727439,111730,20.0
727439,111673,20.0
727438,275204,25.0
727439,78480,20.0
727438,450799,19.0
727442,426637,19.0
727438,479873,19.0
727442,178061,18.0
727440,342730,25.0
727440,470959,18.0
727438,311896,22.0
727440,384709,38.0
727442,158153,24.0
727442,453335,19.0
727439,111644,20.0
727442,262281,18.0
727440,541864,18.0
727446,286751,25.0
727438,399746,19.0
727439,111794,20.0
727438,417404,18.0
727446,212998,18.0
727438,584490,18.0
727446,288983,18.0
727442,247112,23.0
727442,374343,18.0
727442,282007,23.0
727438,473782,22.0
727442,181674,23.0
727442,239300,19.0
727442,435178,25.0
727446,366026,19.0
727446,453588,22.0
727442,584022,18.0
727446,208018,18.0
727444,168405,20.0
727444,228299,18.0
727444,205965,24.0
727444,443834,19.0
727445,435631,18.0
727445,531254,18.0
727447,445609,19.0
727446,526040,19.0
727446,582795,17.0
727444,170299,25.0
727444,90458,18.0
727445,240969,31.0
727444,345398,27.0
727447,378253,22.0
727444,166407,25.0
727444,166117,18.0
727444,254094,25.0
727447,453331,18.0
727444,345506,22.0
727444,166422,19.0
727445,289256,19.0
727457,160349,30.0
727457,74637,19.0
727457,239313,21.0
727457,575192,19.0
727457,289797,22.0
727457,205701,19.0
727457,454243,25.0
727457,74638,25.0
727457,571294,19.0
727457,461188,18.0
727457,166375,18.0
727451,321701,23.0
727451,178237,25.0
727451,113451,25.0
727451,75798,25.0
727451,237631,24.0
727451,81447,24.0
727458,473023,19.0
727458,293347,19.0
727458,161194,24.0
727458,121464,18.0
727458,238516,21.0
727458,275226,24.0
727458,316712,24.0
727458,393545,23.0
727458,242528,25.0
727458,230574,19.0
727463,571262,18.0
727463,449890,18.0
727463,275017,18.0
727463,583009,17.0
727463,517851,18.0
727463,517850,17.0
727463,546497,25.0
727463,465146,18.0
727463,161009,23.0
727471,503138,18.0
727471,473900,18.0
727471,551666,18.0
727471,351052,19.0
727471,362754,19.0
727471,354561,22.0
727471,583655,18.0
727471,584020,18.0
727495,75906,21.0
727494,584124,18.0
727494,564255,18.0
727494,444043,18.0
727494,577468,19.0
727494,577473,18.0
727495,71692,22.0
727494,584490,18.0
727495,98927,24.0
727495,86746,25.0
727495,92908,21.0
727495,141302,21.0
727521,257063,20.0
727521,255291,19.0
727521,227561,20.0
727521,260581,19.0
727521,328869,19.0
727521,284690,19.0
727578,426173,33.0
727582,453318,20.0
727582,421449,18.0
727583,411831,38.0
727614,251330,23.0
727614,186439,21.0
727614,75906,21.0
727614,255138,21.0
727614,187684,20.0
727614,84270,21.0
727614,192591,20.0
727609,312890,20.0
727609,258060,19.0
727609,198301,24.0
727609,330926,20.0
727609,258723,23.0
727609,258963,19.0
727609,258051,29.0
727609,258707,19.0
727609,330957,19.0
727649,445609,19.0
727643,238516,21.0
727643,261149,19.0
727643,243919,25.0
727643,339114,23.0
727643,384709,38.0
727643,246344,18.0
727643,238556,18.0
727643,178284,24.0
727643,203407,22.0
727643,238691,19.0
727643,428032,19.0
727643,262281,18.0
727655,431103,18.0
727655,242528,25.0
727655,328113,18.0
727655,242249,20.0
727655,346908,22.0
727661,212998,18.0
727665,247112,23.0
727669,448001,18.0
727669,161195,25.0
727665,430206,18.0
727669,159688,25.0
727665,393335,18.0
727669,212426,18.0
727669,437782,18.0
727665,426263,24.0
727669,354569,21.0
727665,442693,18.0
727665,316712,24.0
727665,246560,18.0
727669,447661,18.0
727665,242532,18.0
727661,331289,19.0
727669,583218,18.0
727655,417758,19.0
727665,203810,20.0
727661,384522,19.0
727655,424765,22.0
727665,423576,19.0
727655,230574,19.0
727665,374343,18.0
727661,256972,18.0
727669,583220,18.0
727669,479873,19.0
727655,297907,25.0
727655,339438,18.0
727655,192775,24.0
727661,593499,20.0
727655,275203,24.0
727661,367104,19.0
727655,579972,19.0
727661,407115,19.0
727664,417404,18.0
727664,474161,18.0
727662,435588,23.0
727662,443976,19.0
727664,221217,20.0
727664,582361,21.0
727662,491641,18.0
727669,448018,18.0
727662,523155,18.0
727669,524018,
727662,491637,18.0
727662,549927,21.0
727662,577472,18.0
727664,583816,18.0
727662,518055,20.0
727669,582951,18.0
727662,584018,18.0
727662,53424,
727662,455428,18.0
727662,445743,18.0
727664,456080,18.0
727664,593507,18.0
727664,295174,18.0
727664,443983,18.0
727675,283060,19.0
727675,321004,25.0
727675,393623,24.0
727675,499574,18.0
727675,172099,25.0
727664,444040,25.0
727664,366227,18.0
727664,541170,19.0
727664,446685,18.0
727675,399746,19.0
727675,320861,24.0
